単語,意味,発音記号,発音,品詞1,品詞2,補足,例文,英検,カテゴリ
(It’s) my pleasure,どういたしまして,-,-,熟語,-,-,-,準2級,-
(just) in case,一応、念のため,-,-,熟語,-,-,-,準2級,-
A as well as B,Aと同じくBも,-,-,熟語,-,AとBは並列の関係なので、品詞は同じになる,-,準2級,-
A besides B,Aと同じくBも,-,-,熟語,-,AとBは並列の関係なので、品詞は同じになる,-,準2級,-
a bunch of Ns,Nの一束（房）ひと束）,-,-,熟語,-,Nはgrape、banana、flower,-,準2級,-
a couple of Ns,2～3の,-,-,熟語,-,-,-,準2級,-
a huge amount of N,大量のN,-,-,熟語,-,-,-,準2級,-
A in addition to B,Aと同じくBも,-,-,熟語,-,AとBは並列の関係なので、品詞は同じになる,-,準2級,-
A instead of B,Bの代わりにA,-,-,熟語,-,等位接続詞なのでAとBは並列の関係,-,準2級,-
a job interview,就職面接,-,-,熟語,-,-,-,準2級,-
a loaf of bread,パン一斤,-,-,熟語,-,-,-,準2級,-
A turned on,Aを活性化する/オンにする,-,-,熟語,-,-,-,準2級,-
a whole year,丸一年,-,-,熟語,名詞,-,-,準2級,-
abandon,辞める,-,-,熟語,-,-,-,準2級,-
abroad,海外,-,-,熟語,-,-,-,準2級,-
according to,～によれば,-,-,熟語,-,-,-,準2級,-
admitt,認める,-,-,熟語,-,-,-,準2級,-
advertise,宣伝する,-,-,熟語,-,-,-,準2級,-
after you,お先にどうぞ,-,-,熟語,-,-,-,準2級,-
ahead of time,前もって,-,-,熟語,副詞,-,-,準2級,-
all year,丸一年,-,-,熟語,名詞,-,-,準2級,-
all year round[around],年中,-,-,熟語,名詞,-,-,準2級,-
although,～だけれども,-,-,熟語,-,-,-,準2級,-
although,～にもかかわらず,-,-,接続詞,-,-,-,準2級,-
and so on,等々,-,-,熟語,-,-,-,準2級,-
above all,何よりもまず,-,-,副詞,-,-,-,準2級,-
after all,結局,-,-,副詞,-,-,-,準2級,-
may have Vpp,Vppしたかもしれない,-,-,熟語,動詞,-,-,準2級,-
can't have Vpp,Vppしたはずがない,-,-,熟語,動詞,-,-,準2級,-
must have Vpp,Vppだったに違いない,-,-,熟語,動詞,-,-,準2級,-
Anything will do.,何でもいいよ,-,-,熟語,-,will do には be OK の よう なニュアンスがある,-,準2級,-
apologize to 人 for A,Aのことで（人）に謝罪する,-,-,熟語,-,-,-,準2級,-
apply for,応募する,-,-,熟語,-,-,-,準2級,-
appreciation,感謝,-,-,名詞,-,-,-,準2級,-
As far as I know,私の知る限りでは,-,-,熟語,-,-,-,準2級,-
as long as A,Aである限りは,-,-,熟語,-,-,-,準2級,-
as usual,いつもの通り,-,-,熟語,-,-,-,準2級,-
asset,資産,-,-,熟語,-,-,-,準2級,-
at the moment,現在,-,-,熟語,-,nowと同じ,,準2級,-
be able to V,Vすることができる,-,-,熟語,-,-,-,準2級,-
be about to V,（今にも）Vするところだ,-,-,熟語,動詞,-,-,準2級,-
be excellent at N,Nに秀でている,-,-,熟語,-,-,-,準2級,-
be familiar with A,Aに詳しい,-,-,熟語,-,-,-,準2級,-
be for N,Nに賛成である,-,-,熟語,-,-,-,準2級,-
be in favor of N,Nに賛成である,-,-,熟語,-,-,-,準2級,-
be latefor N,Nに遅刻する,-,-,熟語,-,-,-,準2級,-
be likely to V,Vする傾向にある,-,-,熟語,-,-,-,準2級,-
be on a diet,ダイエットしている,-,-,熟語,-,-,-,準2級,-
be popular with N,N（人）に人気がある,-,-,熟語,-,-,-,準2級,-
be retired,引退している,-,-,熟語,-,-,-,準2級,-
be satisfied with N,Nに満足している,-,-,熟語,動詞,satisfy(Vo: ～を満足させる)なので、主語自身が満足している場合は、受動態となる,-,準2級,-
be sure to V,必ずVする,-,-,熟語,-,-,-,準2級,-
be tired of Ving,Vするのに飽きている,-,-,熟語,-,-,-,準2級,-
be unable to V,Vすることができない,-,-,熟語,-,-,-,準2級,-
be used to Ving,Vするのに慣れている,-,-,熟語,動詞,used to V(原型)（Vするのに慣れている）と間違えないように注意,-,準2級,-
be without,無い, wɪðὰʊt,-,熟語,-,-,-,準2級,-
bear A in mind,Aを頭に入れておく,-,-,熟語,-,-,-,準2級,-
bear in mind that S V.,SがVするのを頭に入れておく,-,-,熟語,-,-,-,準2級,-
because of,"～のために, ～のせいで",-,-,熟語,前置詞,-,-,準2級,-
beforehand,前もって,-,-,副詞,-,-,-,準2級,-
belongings,手荷物,-,-,名詞,-,-,-,準2級,-
board,委員会,-,-,名詞,-,-,-,準2級,-
boring,（物が）退屈させる、つまらない,-,-,形容詞,-,-,-,準2級,-
