sample.csv,,,,,,,
ÉgÉäÉKéûçè '''18-09-24 09:55:00s,,,,,,,
,,,,,,,
Ch,Mode,Range,Scaling,Ratio,Offset,,
CH1-1-1,îMìdëŒ,500 Åé f.s.,OFF,-,-,,CH1-1-1[Åé]
CH1-1-2,îMìdëŒ,100 Åé f.s.,OFF,-,-,,CH1-1-2[Åé]
CH1-1-3,îMìdëŒ,100 Åé f.s.,OFF,-,-,,CH1-1-3[Åé]
CH1-1-4,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-4[V]
CH1-1-5,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-5[V]
CH1-1-6,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-6[V]
CH1-1-7,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-7[V]
,,,,,,,
Time,CH1-1-1[Åé],CH1-1-2[Åé],CH1-1-3[Åé],CH1-1-4[V],CH1-1-5[V],CH1-1-6[V],CH1-1-7[V]
'18-09-24 09:55:00s,2.62E+01,2.63E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:01s,2.62E+01,2.63E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:02s,2.62E+01,2.63E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:03s,2.62E+01,2.63E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:04s,2.62E+01,2.63E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:05s,2.62E+01,2.63E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:06s,2.62E+01,2.63E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:07s,2.62E+01,2.63E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:08s,2.62E+01,2.63E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:09s,2.62E+01,2.63E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:10s,2.62E+01,2.63E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:11s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:12s,2.62E+01,2.63E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:13s,2.62E+01,2.63E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:14s,2.62E+01,2.63E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:15s,2.62E+01,2.63E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:16s,2.62E+01,2.63E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:17s,2.62E+01,2.63E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:18s,2.62E+01,2.63E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:19s,2.62E+01,2.63E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:20s,2.62E+01,2.63E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:21s,2.62E+01,2.63E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:22s,2.62E+01,2.63E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:23s,2.62E+01,2.63E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:24s,2.62E+01,2.63E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
