SITE CODE= 8A4óOíJí¨êVí¨                ,38.1033,142.8600, 24,9.0,40613.6154873, 24.87, 42.94
 LAT.=   38.5401
 LON.=  141.1272
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2011 03 11 14 46 30
 NS,EW,UD
-0.004,-0.001,-0.010
-0.038,0.023,-0.018
-0.006,0.016,-0.020
0.025,0.007,-0.015
0.004,-0.007,-0.011
0.016,0.007,-0.010
-0.002,0.012,-0.015
-0.004,-0.020,-0.013
0.005,-0.044,-0.007
-0.007,-0.011,-0.001
0.006,0.024,0.003
0.015,0.010,0.001
0.016,0.009,0.001
0.014,-0.012,0.001
0.013,-0.010,-0.006
0.003,0.007,-0.011
-0.001,-0.026,-0.002
-0.005,-0.024,-0.005
-0.004,-0.011,-0.005
0.004,-0.003,0.000
-0.005,0.014,-0.008
0.013,0.000,-0.002
0.002,-0.003,-0.002
-0.018,0.004,-0.003
-0.003,0.008,0.003
-0.018,0.009,-0.005
-0.002,-0.015,-0.002
0.023,-0.015,0.008
0.013,0.013,0.004
0.017,0.007,0.004
0.011,-0.021,0.016
0.004,-0.018,0.030
-0.001,-0.001,0.023
-0.012,0.000,0.002
-0.012,0.008,-0.002
-0.019,0.007,-0.007
-0.008,0.008,-0.009
0.004,0.024,-0.004
-0.013,0.016,-0.013
-0.005,0.000,-0.025
0.015,-0.026,-0.029
0.012,-0.015,-0.017
-0.004,0.014,-0.016
0.003,-0.013,-0.022
0.030,0.006,-0.014
0.022,0.021,0.003
0.015,-0.007,0.024
0.019,0.017,0.016
-0.010,0.005,0.010
-0.017,-0.027,0.015
-0.015,-0.017,0.004
-0.023,-0.016,0.006
-0.010,-0.005,0.007
-0.014,-0.001,-0.002
-0.006,0.010,-0.007
0.011,0.023,-0.015
0.002,0.009,-0.016
0.008,0.005,-0.014
0.004,-0.009,-0.018
-0.012,-0.017,-0.014
0.000,-0.020,-0.007
-0.009,-0.016,-0.016
-0.014,-0.011,-0.019
-0.002,-0.021,-0.019
0.002,-0.007,-0.021
0.013,0.007,-0.017
0.000,0.013,-0.022
0.017,0.011,-0.013
0.038,0.004,-0.003
0.012,0.014,-0.009
0.016,0.011,-0.002
0.005,-0.011,0.001
-0.011,-0.021,0.003
-0.002,-0.018,0.009
-0.016,-0.008,0.002
-0.006,0.002,0.002
0.002,-0.007,0.005
-0.008,0.000,-0.002
0.007,0.018,-0.006
-0.007,0.013,-0.008
-0.009,-0.004,-0.008
0.014,-0.013,0.007
0.004,-0.008,0.016
0.006,-0.002,0.012
0.000,-0.004,0.008
-0.002,-0.024,0.010
0.012,-0.011,0.019
-0.011,0.008,0.008
-0.013,-0.007,-0.003
-0.009,0.000,-0.001
-0.007,0.003,0.001
0.012,0.014,0.007
0.011,0.021,0.009
0.013,0.012,0.013
0.003,0.007,-0.001
-0.005,-0.011,-0.013
0.002,-0.004,-0.005
-0.021,0.001,-0.010
-0.023,-0.013,-0.022
0.000,-0.006,-0.020
-0.001,0.002,-0.014
0.003,0.000,-0.010
0.017,0.002,-0.004
0.016,-0.018,0.003
0.011,-0.030,0.008
0.007,0.001,0.003
-0.005,0.002,-0.004
0.000,-0.016,-0.007
0.006,-0.002,-0.012
0.002,0.013,-0.014
0.003,0.015,-0.020
0.004,0.007,-0.022
0.000,-0.017,-0.017
0.002,-0.007,-0.023
0.009,0.020,-0.027
-0.020,0.008,-0.030
-0.022,-0.009,-0.023
-0.005,-0.018,-0.005
-0.010,-0.015,0.009
-0.005,0.004,0.012
0.000,-0.005,0.010
0.016,0.000,0.010
0.025,0.002,0.007
0.032,-0.002,0.008
0.018,0.023,0.005
0.002,-0.003,-0.002
0.021,-0.017,-0.001
-0.009,-0.009,0.000
-0.032,-0.011,0.003
-0.005,-0.004,0.000
-0.016,-0.021,0.000
-0.017,0.007,0.002
0.015,0.016,0.003
0.017,0.007,0.002
0.007,0.018,-0.005
0.000,-0.015,-0.005
0.011,-0.019,0.002
-0.002,-0.014,0.005
-0.027,-0.016,0.003
-0.009,-0.009,0.004
0.005,-0.013,0.008
0.018,0.010,0.008
0.015,0.019,-0.003
0.007,0.007,-0.009
0.025,-0.002,-0.005
0.004,-0.017,0.001
-0.016,0.000,0.002
-0.016,0.016,-0.003
-0.021,-0.011,0.002
-0.015,-0.001,0.000
-0.013,0.022,-0.010
-0.018,0.017,-0.011
-0.014,0.013,-0.008
0.005,-0.002,-0.002
0.008,-0.004,0.004
0.002,0.000,-0.002
-0.005,-0.006,-0.015
0.002,-0.018,-0.012
0.018,-0.018,-0.007
0.005,-0.006,-0.014
0.011,-0.003,-0.016
0.009,-0.014,-0.018
0.001,-0.022,-0.011
0.012,-0.009,0.002
-0.005,-0.019,0.006
-0.001,-0.011,0.006
0.009,0.000,0.002
0.005,-0.023,0.007
0.023,0.009,0.007
0.005,0.026,-0.017
-0.002,0.001,-0.025
0.008,0.005,-0.023
-0.009,-0.007,-0.021
-0.001,-0.002,-0.011
-0.014,0.011,-0.013
-0.022,-0.011,-0.007
0.005,-0.016,0.003
0.000,-0.007,0.001
0.001,0.000,-0.002
0.010,0.002,-0.001
-0.003,-0.016,0.000
0.009,-0.020,0.007
0.013,-0.007,0.015
-0.009,0.005,0.009
-0.011,-0.001,0.009
0.005,-0.017,0.017
0.005,0.013,0.014
-0.017,0.027,-0.005
-0.010,0.004,-0.013
0.005,0.005,-0.005
-0.009,0.002,-0.009
-0.005,-0.002,-0.014
-0.005,0.004,-0.007
-0.009,-0.005,0.005
0.006,-0.008,0.009
0.011,0.012,0.007
0.005,0.025,0.002
-0.005,0.009,-0.014
0.011,-0.009,-0.014
0.005,-0.006,-0.007
-0.009,-0.004,-0.003
0.010,0.007,-0.004
0.002,0.002,-0.004
0.020,-0.002,0.013
0.030,0.020,0.018
