ダウンロードした時刻：2020/02/08 11:59:08

,大阪,大阪,大阪
年月日時,気温(℃),気温(℃),気温(℃)
,,品質情報,均質番号
2020/2/1 1:00:00,5.8,8,1
2020/2/1 2:00:00,5.9,8,1
2020/2/1 3:00:00,6.0,8,1
2020/2/1 4:00:00,5.9,8,1
2020/2/1 5:00:00,5.8,8,1
2020/2/1 6:00:00,5.6,8,1
2020/2/1 7:00:00,5.7,8,1
2020/2/1 8:00:00,6.0,8,1
2020/2/1 9:00:00,6.4,8,1
2020/2/1 10:00:00,6.9,8,1
2020/2/1 11:00:00,7.1,8,1
2020/2/1 12:00:00,7.7,8,1
2020/2/1 13:00:00,8.0,8,1
2020/2/1 14:00:00,9.4,8,1
2020/2/1 15:00:00,9.1,8,1
2020/2/1 16:00:00,9.3,8,1
2020/2/1 17:00:00,8.9,8,1
2020/2/1 18:00:00,8.2,8,1
2020/2/1 19:00:00,7.7,8,1
2020/2/1 20:00:00,7.2,8,1
2020/2/1 21:00:00,6.9,8,1
2020/2/1 22:00:00,5.6,8,1
2020/2/1 23:00:00,5.0,8,1
2020/2/2 00:00:00,5.0,8,1
2020/2/2 1:00:00,5.5,8,1
2020/2/2 2:00:00,5.2,8,1
2020/2/2 3:00:00,5.2,8,1
2020/2/2 4:00:00,5.0,8,1
2020/2/2 5:00:00,4.0,8,1
2020/2/2 6:00:00,3.8,8,1
2020/2/2 7:00:00,3.6,8,1
2020/2/2 8:00:00,4.4,8,1
2020/2/2 9:00:00,5.7,8,1
2020/2/2 10:00:00,7.6,8,1
2020/2/2 11:00:00,9.5,8,1
2020/2/2 12:00:00,10.4,8,1
2020/2/2 13:00:00,10.2,8,1
2020/2/2 14:00:00,10.9,8,1
2020/2/2 15:00:00,11.4,8,1
2020/2/2 16:00:00,10.9,8,1
2020/2/2 17:00:00,10.3,8,1
2020/2/2 18:00:00,10.1,8,1
2020/2/2 19:00:00,10.0,8,1
2020/2/2 20:00:00,9.0,8,1
2020/2/2 21:00:00,8.1,8,1
2020/2/2 22:00:00,8.3,8,1
2020/2/2 23:00:00,7.9,8,1
2020/2/3 00:00:00,6.6,8,1
2020/2/3 1:00:00,6.0,8,1
2020/2/3 2:00:00,5.5,8,1
2020/2/3 3:00:00,5.2,8,1
2020/2/3 4:00:00,4.6,8,1
2020/2/3 5:00:00,4.4,8,1
2020/2/3 6:00:00,4.0,8,1
2020/2/3 7:00:00,4.3,8,1
2020/2/3 8:00:00,5.3,8,1
2020/2/3 9:00:00,6.7,8,1
2020/2/3 10:00:00,8.9,8,1
2020/2/3 11:00:00,11.3,8,1
2020/2/3 12:00:00,11.4,8,1
2020/2/3 13:00:00,11.7,8,1
2020/2/3 14:00:00,12.1,8,1
2020/2/3 15:00:00,11.3,8,1
2020/2/3 16:00:00,10.9,8,1
2020/2/3 17:00:00,10.9,8,1
2020/2/3 18:00:00,10.4,8,1
2020/2/3 19:00:00,10.5,8,1
2020/2/3 20:00:00,10.3,8,1
2020/2/3 21:00:00,9.6,8,1
2020/2/3 22:00:00,8.9,8,1
2020/2/3 23:00:00,8.0,8,1
2020/2/4 00:00:00,7.4,8,1
2020/2/4 1:00:00,7.1,8,1
2020/2/4 2:00:00,6.6,8,1
2020/2/4 3:00:00,6.2,8,1
2020/2/4 4:00:00,6.0,8,1
2020/2/4 5:00:00,5.8,8,1
2020/2/4 6:00:00,5.7,8,1
2020/2/4 7:00:00,4.8,8,1
2020/2/4 8:00:00,5.4,8,1
2020/2/4 9:00:00,6.8,8,1
2020/2/4 10:00:00,8.4,8,1
2020/2/4 11:00:00,9.5,8,1
2020/2/4 12:00:00,10.8,8,1
2020/2/4 13:00:00,10.4,8,1
2020/2/4 14:00:00,10.8,8,1
2020/2/4 15:00:00,10.3,8,1
2020/2/4 16:00:00,10.1,8,1
2020/2/4 17:00:00,9.3,8,1
2020/2/4 18:00:00,8.6,8,1
2020/2/4 19:00:00,8.1,8,1
2020/2/4 20:00:00,8.5,8,1
2020/2/4 21:00:00,8.2,8,1
2020/2/4 22:00:00,6.4,8,1
2020/2/4 23:00:00,6.5,8,1
2020/2/5 00:00:00,5.8,8,1
2020/2/5 1:00:00,4.9,8,1
2020/2/5 2:00:00,4.5,8,1
2020/2/5 3:00:00,4.5,8,1
2020/2/5 4:00:00,4.3,8,1
2020/2/5 5:00:00,3.3,8,1
2020/2/5 6:00:00,6.7,8,1
2020/2/5 7:00:00,7.1,8,1
2020/2/5 8:00:00,7.6,8,1
2020/2/5 9:00:00,8.7,8,1
2020/2/5 10:00:00,9.7,8,1
2020/2/5 11:00:00,10.3,8,1
2020/2/5 12:00:00,11.0,8,1
2020/2/5 13:00:00,11.0,8,1
2020/2/5 14:00:00,11.3,8,1
2020/2/5 15:00:00,9.5,8,1
2020/2/5 16:00:00,8.3,8,1
2020/2/5 17:00:00,7.7,8,1
2020/2/5 18:00:00,6.0,8,1
2020/2/5 19:00:00,5.4,8,1
2020/2/5 20:00:00,4.9,8,1
2020/2/5 21:00:00,5.0,8,1
2020/2/5 22:00:00,4.7,8,1
2020/2/5 23:00:00,4.6,8,1
2020/2/6 00:00:00,4.5,8,1
2020/2/6 1:00:00,3.9,8,1
2020/2/6 2:00:00,3.4,8,1
2020/2/6 3:00:00,3.2,8,1
2020/2/6 4:00:00,3.0,8,1
2020/2/6 5:00:00,2.7,8,1
2020/2/6 6:00:00,2.4,8,1
2020/2/6 7:00:00,2.0,8,1
2020/2/6 8:00:00,2.5,8,1
2020/2/6 9:00:00,3.6,8,1
2020/2/6 10:00:00,6.2,8,1
2020/2/6 11:00:00,5.4,8,1
2020/2/6 12:00:00,5.7,8,1
2020/2/6 13:00:00,6.8,8,1
2020/2/6 14:00:00,5.2,8,1
2020/2/6 15:00:00,4.6,8,1
2020/2/6 16:00:00,4.2,8,1
2020/2/6 17:00:00,3.2,8,1
2020/2/6 18:00:00,2.2,8,1
2020/2/6 19:00:00,2.2,8,1
2020/2/6 20:00:00,1.9,8,1
2020/2/6 21:00:00,1.6,8,1
2020/2/6 22:00:00,1.4,8,1
2020/2/6 23:00:00,1.5,8,1
2020/2/7 00:00:00,0.9,8,1
2020/2/7 1:00:00,0.7,8,1
2020/2/7 2:00:00,0.4,8,1
2020/2/7 3:00:00,0.4,8,1
2020/2/7 4:00:00,0.4,8,1
2020/2/7 5:00:00,0.3,8,1
2020/2/7 6:00:00,0.2,8,1
2020/2/7 7:00:00,0.2,8,1
2020/2/7 8:00:00,0.5,8,1
2020/2/7 9:00:00,1.4,8,1
2020/2/7 10:00:00,2.4,8,1
2020/2/7 11:00:00,3.6,8,1
2020/2/7 12:00:00,4.0,8,1
2020/2/7 13:00:00,4.8,8,1
2020/2/7 14:00:00,6.3,8,1
2020/2/7 15:00:00,6.2,8,1
2020/2/7 16:00:00,6.5,8,1
2020/2/7 17:00:00,6.3,8,1
2020/2/7 18:00:00,5.5,8,1
2020/2/7 19:00:00,5.5,8,1
2020/2/7 20:00:00,5.6,8,1
2020/2/7 21:00:00,5.5,8,1
2020/2/7 22:00:00,5.2,8,1
2020/2/7 23:00:00,4.9,8,1
2020/2/8 00:00:00,4.9,8,1
