,remote_host,remote_logname,remote_user,request_first_line,request_method,request_url,request_http_ver,request_url_scheme,request_url_netloc,request_url_path,request_url_password,request_url_hostname,status,response_bytes_clf,request_header_referer,request_header_user_agent,request_header_user_agent__browser__family,request_header_user_agent__browser__version_string,request_header_user_agent__os__family,request_header_user_agent__os__version_string,request_header_user_agent__is_mobile,id,request_url_port
0,192.168.1.4,-,-,CONNECT cp601.prod.do.dsp.mp.microsoft.com:443 HTTP/1.1,CONNECT,cp601.prod.do.dsp.mp.microsoft.com:443,1.1,,,cp601.prod.do.dsp.mp.microsoft.com:443,0,0,200,6771,-,-,Other,,Other,,FALSE,0,443
1,192.168.1.4,-,-,CONNECT cp601.prod.do.dsp.mp.microsoft.com:443 HTTP/1.1,CONNECT,cp601.prod.do.dsp.mp.microsoft.com:443,1.1,,,cp601.prod.do.dsp.mp.microsoft.com:443,0,0,200,6751,-,-,Other,,Other,,FALSE,1,443
2,192.168.1.4,-,-,CONNECT cp601.prod.do.dsp.mp.microsoft.com:443 HTTP/1.1,CONNECT,cp601.prod.do.dsp.mp.microsoft.com:443,1.1,,,cp601.prod.do.dsp.mp.microsoft.com:443,0,0,200,6770,-,-,Other,,Other,,FALSE,2,443
3,192.168.1.4,-,-,CONNECT cp601.prod.do.dsp.mp.microsoft.com:443 HTTP/1.1,CONNECT,cp601.prod.do.dsp.mp.microsoft.com:443,1.1,,,cp601.prod.do.dsp.mp.microsoft.com:443,0,0,200,6758,-,-,Other,,Other,,FALSE,3,443
4,192.168.1.4,-,-,CONNECT cp601.prod.do.dsp.mp.microsoft.com:443 HTTP/1.1,CONNECT,cp601.prod.do.dsp.mp.microsoft.com:443,1.1,,,cp601.prod.do.dsp.mp.microsoft.com:443,0,0,200,6766,-,-,Other,,Other,,FALSE,4,443
5,192.168.1.4,-,-,CONNECT disc601.prod.do.dsp.mp.microsoft.com:443 HTTP/1.1,CONNECT,disc601.prod.do.dsp.mp.microsoft.com:443,1.1,,,disc601.prod.do.dsp.mp.microsoft.com:443,0,0,200,6514,-,-,Other,,Other,,FALSE,5,443
6,192.168.1.4,-,-,CONNECT disc601.prod.do.dsp.mp.microsoft.com:443 HTTP/1.1,CONNECT,disc601.prod.do.dsp.mp.microsoft.com:443,1.1,,,disc601.prod.do.dsp.mp.microsoft.com:443,0,0,200,6514,-,-,Other,,Other,,FALSE,6,443
7,192.168.1.4,-,-,CONNECT disc601.prod.do.dsp.mp.microsoft.com:443 HTTP/1.1,CONNECT,disc601.prod.do.dsp.mp.microsoft.com:443,1.1,,,disc601.prod.do.dsp.mp.microsoft.com:443,0,0,200,6514,-,-,Other,,Other,,FALSE,7,443
8,192.168.1.4,-,-,CONNECT disc601.prod.do.dsp.mp.microsoft.com:443 HTTP/1.1,CONNECT,disc601.prod.do.dsp.mp.microsoft.com:443,1.1,,,disc601.prod.do.dsp.mp.microsoft.com:443,0,0,200,6514,-,-,Other,,Other,,FALSE,8,443
9,192.168.1.4,-,-,CONNECT disc601.prod.do.dsp.mp.microsoft.com:443 HTTP/1.1,CONNECT,disc601.prod.do.dsp.mp.microsoft.com:443,1.1,,,disc601.prod.do.dsp.mp.microsoft.com:443,0,0,200,6515,-,-,Other,,Other,,FALSE,9,443
10,192.168.1.4,-,-,CONNECT disc601.prod.do.dsp.mp.microsoft.com:443 HTTP/1.1,CONNECT,disc601.prod.do.dsp.mp.microsoft.com:443,1.1,,,disc601.prod.do.dsp.mp.microsoft.com:443,0,0,200,6514,-,-,Other,,Other,,FALSE,10,443
11,192.168.1.4,-,-,CONNECT disc601.prod.do.dsp.mp.microsoft.com:443 HTTP/1.1,CONNECT,disc601.prod.do.dsp.mp.microsoft.com:443,1.1,,,disc601.prod.do.dsp.mp.microsoft.com:443,0,0,200,6515,-,-,Other,,Other,,FALSE,11,443
12,192.168.1.4,-,-,CONNECT array612.prod.do.dsp.mp.microsoft.com:443 HTTP/1.1,CONNECT,array612.prod.do.dsp.mp.microsoft.com:443,1.1,,,array612.prod.do.dsp.mp.microsoft.com:443,0,0,200,3140,-,-,Other,,Other,,FALSE,12,443
13,192.168.1.4,-,-,GET http://tanuki.5ch.net/livebase/subject.txt HTTP/1.1,GET,http://tanuki.5ch.net/livebase/subject.txt,1.1,http,tanuki.5ch.net,/livebase/subject.txt,0,tanuki.5ch.net,200,2646,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",Chrome,78.0.3904,Windows,10,FALSE,13,0
14,192.168.1.4,-,-,GET http://tanuki.5ch.net/test/read.cgi/livebase/1619848260/1- HTTP/1.1,GET,http://tanuki.5ch.net/test/read.cgi/livebase/1619848260/1-,1.1,http,tanuki.5ch.net,/test/read.cgi/livebase/1619848260/1-,0,tanuki.5ch.net,410,540,http://tanuki.5ch.net/test/read.cgi/livebase/1619848260/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",Chrome,61.0.3163,Windows,10,FALSE,14,0
15,192.168.1.4,-,-,CONNECT fonts.gstatic.com:443 HTTP/1.1,CONNECT,fonts.gstatic.com:443,1.1,,,fonts.gstatic.com:443,0,0,200,831,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",Chrome,90.0.4430,Windows,10,FALSE,15,443
16,192.168.1.4,-,-,CONNECT live.nicovideo.jp:443 HTTP/1.1,CONNECT,live.nicovideo.jp:443,1.1,,,live.nicovideo.jp:443,0,0,200,1570,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",Chrome,90.0.4430,Windows,10,FALSE,16,443
17,192.168.1.4,-,-,GET http://tanuki.5ch.net/livebase/subject.txt HTTP/1.1,GET,http://tanuki.5ch.net/livebase/subject.txt,1.1,http,tanuki.5ch.net,/livebase/subject.txt,0,tanuki.5ch.net,200,2646,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",Chrome,78.0.3904,Windows,10,FALSE,17,0
18,192.168.1.4,-,-,GET http://tanuki.5ch.net/test/read.cgi/livebase/1619848260/1- HTTP/1.1,GET,http://tanuki.5ch.net/test/read.cgi/livebase/1619848260/1-,1.1,http,tanuki.5ch.net,/test/read.cgi/livebase/1619848260/1-,0,tanuki.5ch.net,410,540,http://tanuki.5ch.net/test/read.cgi/livebase/1619848260/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",Chrome,61.0.3163,Windows,10,FALSE,18,0
19,192.168.1.4,-,-,CONNECT login.live.com:443 HTTP/1.1,CONNECT,login.live.com:443,1.1,,,login.live.com:443,0,0,200,23086,-,-,Other,,Other,,FALSE,19,443
