time,current
-6,0
-5.8,1
-5.6,0
-5.4,0
-5.2,0
-5,0
-4.8,1
-4.6,1
-4.4,0
-4.2,1
-4,0
-3.8,0
-3.6,0
-3.4,0
-3.2,0
-3,1
-2.8,0
-2.6,1
-2.4,0
-2.2,0
-2,0
-1.8,1
-1.6,0
-1.4,0
-1.2,0
-1,0
-0.8,0
-0.6,1
-0.4,1
-0.2,0
0,0
0.2,1
0.4,2
0.6,2
0.8,3
1,2
1.2,4
1.4,6
1.6,5
1.8,7
2,8
2.2,10
2.4,13
2.6,12
2.8,16
3,11
3.2,14
3.4,18
3.6,11
3.8,16
4,14
4.2,14
4.4,15
4.6,17
4.8,17
5,16
5.2,16
5.4,24
5.6,22
5.8,15
6,22
6.2,24
6.4,28
6.6,24
6.8,29
7,27
7.2,27
7.4,23
7.6,26
7.8,21
8,30
8.2,22
8.4,32
8.6,30
8.8,29
9,27
9.2,32
9.4,30
9.6,29
9.8,28
10,31
10.2,33
10.4,35
10.6,35
10.8,32
11,36
11.2,34
11.4,34
11.6,41
11.8,42
12,40
12.2,38
12.4,40
12.6,42
12.8,44
13,41
13.2,40
13.4,40
13.6,40
13.8,41
14,38
14.2,42
14.4,48
14.6,50
14.8,49
15,47
15.2,52
15.4,51
15.6,52
15.8,46
16,54
16.2,49
16.4,48
16.6,56
16.8,50
17,53
17.2,47
17.4,51
17.6,50
17.8,52
18,55
18.2,55
18.4,49
18.6,55
18.8,62
19,55
19.2,59
19.4,63
19.6,59
19.8,58
20,60
20.2,65
20.4,61
20.6,64
20.8,57
21,64
21.2,63
21.4,62
21.6,65
21.8,62
22,67
22.2,63
22.4,67
22.6,60
22.8,65
23,66
23.2,68
23.4,63
23.6,69
23.8,65
24,70
24.2,63
24.4,64
24.6,74
24.8,67
25,70
25.2,72
25.4,69
25.6,72
25.8,73
26,66
26.2,72
26.4,67
26.6,70
26.8,72
27,70
27.2,76
27.4,72
27.6,71
27.8,77
28,69
28.2,72
28.4,74
28.6,71
28.8,78
29,73
29.2,79
29.4,79
29.6,79
29.8,79
30,77
30.2,75
30.4,77
30.6,78
30.8,76
31,78
31.2,75
31.4,81
31.6,75
31.8,86
32,76
32.2,80
32.4,79
32.6,84
32.8,87
33,90
33.2,80
33.4,87
33.6,87
33.8,86
34,84
34.2,88
34.4,88
34.6,83
34.8,91
35,86
35.2,88
35.4,90
35.6,85
35.8,85
36,87
36.2,88
36.4,85
36.6,88
36.8,95
37,88
37.2,89
37.4,88
37.6,87
37.8,89
38,93
38.2,93
38.4,87
38.6,95
38.8,90
39,89
39.2,93
39.4,92
39.6,99
39.8,96
40,100
40.2,99
40.4,99
40.6,92
40.8,97
41,96
41.2,99
41.4,99
41.6,98
41.8,96
42,95
42.2,95
42.4,100
42.6,104
42.8,102
43,98
43.2,94
43.4,100
43.6,104
43.8,100
44,105
44.2,102
44.4,99
44.6,102
44.8,99
45,105
45.2,100
45.4,100
45.6,102
45.8,102
46,99
46.2,104
46.4,104
46.6,110
46.8,110
47,110
47.2,106
47.4,104
47.6,113
47.8,109
48,107
48.2,110
48.4,110
48.6,109
48.8,113
49,112
49.2,113
49.4,110
49.6,112
49.8,116
50,115
50.2,113
50.4,116
50.6,108
50.8,117
51,118
51.2,112
51.4,114
51.6,113
51.8,120
52,116
52.2,111
52.4,113
52.6,122
52.8,117
53,120
53.2,117
53.4,118
53.6,119
53.8,114
54,121
54.2,116
54.4,124
54.6,117
54.8,119
55,125
55.2,119
55.4,120
55.6,122
55.8,119
56,124
56.2,124
56.4,125
56.6,125
56.8,119
57,130
57.2,128
57.4,130
57.6,125
57.8,124
58,130
58.2,121
58.4,125
58.6,128
58.8,124
59,127
59.2,130
59.4,132
59.6,134
59.8,131
60,129
60.2,129
60.4,132
60.6,130
60.8,133
61,132
61.2,128
61.4,130
61.6,135
61.8,136
62,135
62.2,133
62.4,133
62.6,135
62.8,131
63,132
63.2,132
63.4,134
63.6,132
63.8,134
64,133
64.2,139
64.4,140
64.6,132
64.8,132
65,138
65.2,134
65.4,136
65.6,140
65.8,132
66,140
66.2,137
66.4,138
66.6,134
66.8,144
67,143
67.2,145
67.4,137
67.6,142
67.8,144
68,139
68.2,144
68.4,144
68.6,141
68.8,139
69,144
69.2,147
69.4,147
69.6,139
69.8,146
70,147
70.2,148
70.4,147
70.6,148
70.8,151
71,150
71.2,141
71.4,143
71.6,149
71.8,143
72,148
72.2,151
72.4,146
72.6,150
72.8,146
73,147
73.2,147
73.4,147
73.6,148
73.8,150
74,153
74.2,147
74.4,154
74.6,150
74.8,152
75,155
75.2,154
75.4,148
75.6,148
75.8,153
76,148
76.2,149
76.4,154
76.6,152
76.8,156
